,Original Filename,Filename in AWS bucket:,Upload started at time:,Upload Stopped at time:,Upload Size:,Object put in upload bucket at time:,AWS Event Trigered at time:,Function started at time:,Function stopped at time:,Object put in results bucket at time:,Size of file in results bucket:
0,00.txt,00.txt^2019-07-17T15:12:01.154418.json,2019-07-17T15:12:01.154418,2019-07-17T15:12:01.280796,3,2019-07-17T15:12:02+00:00,2019-07-17T15:12:01.271Z,2019-07-17T15:12:03.059967,2019-07-17T15:12:03.134770,2019-07-17T15:12:04+00:00,339
1,01.txt,01.txt^2019-07-17T15:12:02.281929.json,2019-07-17T15:12:02.281929,2019-07-17T15:12:02.359986,3,2019-07-17T15:12:03+00:00,2019-07-17T15:12:02.337Z,2019-07-17T15:12:03.590188,2019-07-17T15:12:03.664994,2019-07-17T15:12:04+00:00,339
2,02.txt,02.txt^2019-07-17T15:12:03.361288.json,2019-07-17T15:12:03.361288,2019-07-17T15:12:03.460046,3,2019-07-17T15:12:04+00:00,2019-07-17T15:12:03.409Z,2019-07-17T15:12:04.361796,2019-07-17T15:12:04.399177,2019-07-17T15:12:05+00:00,339
3,03.txt,03.txt^2019-07-17T15:12:04.461570.json,2019-07-17T15:12:04.461570,2019-07-17T15:12:04.517367,3,2019-07-17T15:12:05+00:00,2019-07-17T15:12:04.505Z,2019-07-17T15:12:05.204958,2019-07-17T15:12:05.241266,2019-07-17T15:12:06+00:00,339
4,04.txt,04.txt^2019-07-17T15:12:05.518596.json,2019-07-17T15:12:05.518596,2019-07-17T15:12:05.573415,3,2019-07-17T15:12:06+00:00,2019-07-17T15:12:05.563Z,2019-07-17T15:12:07.152258,2019-07-17T15:12:07.188238,2019-07-17T15:12:08+00:00,339
5,05.txt,05.txt^2019-07-17T15:12:06.573837.json,2019-07-17T15:12:06.573837,2019-07-17T15:12:06.624720,3,2019-07-17T15:12:07+00:00,2019-07-17T15:12:06.616Z,2019-07-17T15:12:07.220058,2019-07-17T15:12:07.256006,2019-07-17T15:12:08+00:00,339
6,06.txt,06.txt^2019-07-17T15:12:07.626143.json,2019-07-17T15:12:07.626143,2019-07-17T15:12:07.682657,3,2019-07-17T15:12:08+00:00,2019-07-17T15:12:07.670Z,2019-07-17T15:12:09.153544,2019-07-17T15:12:09.174613,2019-07-17T15:12:10+00:00,339
7,07.txt,07.txt^2019-07-17T15:12:08.684083.json,2019-07-17T15:12:08.684083,2019-07-17T15:12:08.738072,3,2019-07-17T15:12:09+00:00,2019-07-17T15:12:08.728Z,2019-07-17T15:12:09.142032,2019-07-17T15:12:09.177129,2019-07-17T15:12:10+00:00,339
8,08.txt,08.txt^2019-07-17T15:12:09.739432.json,2019-07-17T15:12:09.739432,2019-07-17T15:12:09.803857,3,2019-07-17T15:12:10+00:00,2019-07-17T15:12:09.790Z,2019-07-17T15:12:11.132896,2019-07-17T15:12:11.171186,2019-07-17T15:12:12+00:00,339
9,09.txt,09.txt^2019-07-17T15:12:10.805133.json,2019-07-17T15:12:10.805133,2019-07-17T15:12:10.866219,3,2019-07-17T15:12:11+00:00,2019-07-17T15:12:10.855Z,2019-07-17T15:12:11.140018,2019-07-17T15:12:11.160418,2019-07-17T15:12:12+00:00,339
