,filename,flight_time,iothub_time,end_to_end_time,messagesendutctime,iothubutctime,s3creationutctime,audiotranslation
0,1013826.wav,23.595000000000002,821.0,844.595,2018-12-27 01:51:09.155405,2018-12-27 01:51:09.179000,2018-12-27 01:51:10.000000,we're season
1,1014515.wav,19.976,870.0,889.976,2018-12-27 01:15:13.110024,2018-12-27 01:15:13.130000,2018-12-27 01:15:14.000000,i don't have the t v it's my place
2,1014795.wav,25.87,800.0,825.87,2018-12-27 00:20:31.174130,2018-12-27 00:20:31.200000,2018-12-27 00:20:32.000000,i'm not sure yet but i think i'll become a teacher
3,1023969.wav,21.159000000000002,171.0,192.159,2018-12-27 06:07:26.807841,2018-12-27 06:07:26.829000,2018-12-27 06:07:27.000000,tom was killed by a hired assassin
4,1024050.wav,23.512999999999998,583.0,606.5129999999999,2018-12-27 06:29:38.393487,2018-12-27 06:29:38.417000,2018-12-27 06:29:39.000000,khan usually eat his lunch alone
5,1024143.wav,25.07,959.0,984.07,2018-12-27 06:36:58.015930,2018-12-27 06:36:58.041000,2018-12-27 06:36:59.000000,tom spend a lot of time trying to learn how to play the french horn
6,1024183.wav,21.748,800.0,821.748,2018-12-27 05:10:27.178252,2018-12-27 05:10:27.200000,2018-12-27 05:10:28.000000,com's seems to be sleeping
7,1024184.wav,22.984,281.0,303.984,2018-12-26 22:54:47.696016,2018-12-26 22:54:47.719000,2018-12-26 22:54:48.000000,tom seems to have lost his passport
8,1024247.wav,35.124,197.0,232.124,2018-12-26 22:24:27.767876,2018-12-26 22:24:27.803000,2018-12-26 22:24:28.000000,tom said that he feels much better today
9,1024264.wav,24.166,310.0,334.166,2018-12-26 22:07:45.665834,2018-12-26 22:07:45.690000,2018-12-26 22:07:46.000000,tom said he couldn't claim the pool tomorrow afternoon
10,1024295.wav,25.65,505.0,530.65,2018-12-27 05:21:44.469350,2018-12-27 05:21:44.495000,2018-12-27 05:21:45.000000,time ran out of the room
11,1024323.wav,35.495,677.0,712.495,2018-12-27 04:08:00.287505,2018-12-27 04:08:00.323000,2018-12-27 04:08:01.000000,don't push the door shut
12,1024341.wav,46.678,470.0,516.678,2018-12-27 04:58:01.483322,2018-12-27 04:58:01.530000,2018-12-27 04:58:02.000000,tom plays the harmonica by ear
13,1024518.wav,25.656000000000002,963.0,988.656,2018-12-26 23:09:26.011344,2018-12-26 23:09:26.037000,2018-12-26 23:09:27.000000,tom lost his memory
14,1024523.wav,28.312,541.0,569.312,2018-12-27 05:18:13.430688,2018-12-27 05:18:13.459000,2018-12-27 05:18:14.000000,tom looks very happy
15,1024584.wav,24.209,735.0,759.2090000000001,2018-12-26 23:24:57.240791,2018-12-26 23:24:57.265000,2018-12-26 23:24:58.000000,tom last three days ago
