audiofilename,audio_entropy,t0,t1,t2,t3,t4,t5,t6,t7,t8,payloadsize,audiofilesize,audiofileobjectsize,audio_length,f_t0,f_t1,f_t2,f_t3,f_t4,f_t5,f_t6,flight_time,iothub_time,end_to_end_time,messagesendutctime,iothubutctime,s3creationutctime,audiotranslation
646896.wav,11.996815209700001,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451588.3539,1543451603.02496,1543451603.5168,1543451603.51697,1543451603.5474,149,59416,63,1,1543451588.3539,1543451588.35391,1543451588.35395,1543451588.35727,1543451599.2741,1543451603.02489,1543451603.02495,26.164,457.0,483.164,2018-11-29 00:33:23.516836,2018-11-29 00:33:23.543000,2018-11-29 00:33:24.000000,i put the on the hook
2215701.wav,12.902508862100001,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451603.5940099,1543451607.5328698,1543451607.53777,1543451607.53802,1543451607.5924401,142,49786,64,1,1543451603.59402,1543451603.5940402,1543451603.59416,1543451603.5980802,1543451606.7497,1543451607.5328,1543451607.53286,44.18899999999999,418.0,462.189,2018-11-29 00:33:27.537811,2018-11-29 00:33:27.582000,2018-11-29 00:33:28.000000,tom will lose
5193474.wav,12.4214243808,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451607.65226,1543451615.14394,1543451615.17715,1543451615.17741,1543451615.22898,161,76068,64,2,1543451607.6522698,1543451607.65229,1543451607.65241,1543451607.6558301,1543451613.77985,1543451615.1438699,1543451615.14392,39.803000000000004,783.0,822.803,2018-11-29 00:33:35.177197,2018-11-29 00:33:35.217000,2018-11-29 00:33:36.000000,i want to see how good i can get
2006536.wav,12.2327477008,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451615.28149,1543451619.80121,1543451619.80407,1543451619.8043098,1543451619.85523,151,52374,64,1,1543451615.2815,1543451615.28152,1543451615.28164,1543451615.28461,1543451618.62759,1543451619.80114,1543451619.8011901,41.888000000000005,154.0,195.888,2018-11-29 00:33:39.804112,2018-11-29 00:33:39.846000,2018-11-29 00:33:40.000000,you should be grateful
2208412.wav,13.308877134300001,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451619.90033,1543451626.82051,1543451626.90983,1543451626.91009,1543451626.9639099,150,62594,64,1,1543451619.90034,1543451619.9003599,1543451619.90048,1543451619.90346,1543451625.2985,1543451626.82043,1543451626.8204901,40.125,1050.0,1090.125,2018-11-29 00:33:46.909875,2018-11-29 00:33:46.950000,2018-11-29 00:33:48.000000,tom needs to be alone
4665192.wav,12.278191946199998,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451627.0193,1543451633.88118,1543451633.90181,1543451633.9020698,1543451633.95173,159,66466,64,2,1543451627.01931,1543451627.01933,1543451627.01945,1543451627.02277,1543451632.1656,1543451633.8811,1543451633.88116,43.148999999999994,1055.0,1098.149,2018-11-29 00:33:53.901851,2018-11-29 00:33:53.945000,2018-11-29 00:33:55.000000,khan is going to have to leave
3431090.wav,12.76289576,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451634.0023,1543451643.73536,1543451643.77623,1543451643.77649,1543451643.8289301,167,92074,64,2,1543451634.00231,1543451634.00233,1543451634.00245,1543451634.0053802,1543451641.51635,1543451643.73528,1543451643.73534,38.726,185.0,223.726,2018-11-29 00:34:03.776274,2018-11-29 00:34:03.815000,2018-11-29 00:34:04.000000,i think tom has never seen this before
953892.wav,12.2909544025,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451643.88791,1543451651.80317,1543451651.8176801,1543451651.81794,1543451651.87031,165,77990,63,2,1543451643.88792,1543451643.88794,1543451643.8880699,1543451643.89133,1543451650.69537,1543451651.80309,1543451651.80315,40.27,142.0,182.27,2018-11-29 00:34:11.817730,2018-11-29 00:34:11.858000,2018-11-29 00:34:12.000000,i've been looking for a girl like you
2857951.wav,12.700404091,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451651.92377,1543451658.74489,1543451658.74703,1543451658.74719,1543451658.78315,168,84076,64,2,1543451651.92378,1543451651.9238,1543451651.92392,1543451651.92712,1543451657.58358,1543451658.7448401,1543451658.74488,31.939000000000004,221.0,252.939,2018-11-29 00:34:18.747061,2018-11-29 00:34:18.779000,2018-11-29 00:34:19.000000,i have a job interview tomorrow morning
1094337.wav,13.4168389647,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451658.83635,1543451669.36902,1543451669.40543,1543451669.40569,1543451669.4607902,184,109048,64,3,1543451658.83637,1543451658.83638,1543451658.83651,1543451658.83938,1543451666.19858,1543451669.36894,1543451669.369,39.521,555.0,594.521,2018-11-29 00:34:29.405479,2018-11-29 00:34:29.445000,2018-11-29 00:34:30.000000,tom doesn't think anything that is ever going to happen
