,filename,flight_time,iothub_time,end_to_end_time,messagesendutctime,iothubutctime,s3creationutctime,audiotranslation
0,1013826.wav,45.102,545.0,590.102,2018-11-29 01:13:20.409898,2018-11-29 01:13:20.455000,2018-11-29 01:13:21.000000,where's the fun
1,1014515.wav,39.944,153.0,192.944,2018-11-29 03:51:31.807056,2018-11-29 03:51:31.847000,2018-11-29 03:51:32.000000,i don't have a t v at my place
2,1014795.wav,39.425,173.0,212.425,2018-11-29 00:50:47.787575,2018-11-29 00:50:47.827000,2018-11-29 00:50:48.000000,i'm not sure yet but i think i'll become a teacher
3,1024323.wav,44.385,168.0,212.385,2018-11-29 03:26:15.787615,2018-11-29 03:26:15.832000,2018-11-29 03:26:16.000000,don't push the door shut
4,1024341.wav,39.94000000000001,595.0,634.9399999999998,2018-11-29 05:21:03.365060,2018-11-29 05:21:03.405000,2018-11-29 05:21:04.000000,tom plays the harmonica by ear
5,1024518.wav,49.245,776.0,825.245,2018-11-29 03:03:29.174755,2018-11-29 03:03:29.224000,2018-11-29 03:03:30.000000,tom lost his memory
6,1024584.wav,43.32,611.0,654.32,2018-11-29 01:45:27.345680,2018-11-29 01:45:27.389000,2018-11-29 01:45:28.000000,tom last three days ago
7,1024592.wav,39.594,688.0,727.5939999999998,2018-11-29 04:28:22.272406,2018-11-29 04:28:22.312000,2018-11-29 04:28:23.000000,calm left the door open
8,1024632.wav,49.24100000000001,998.0,1047.241,2018-11-29 02:29:22.952759,2018-11-29 02:29:23.002000,2018-11-29 02:29:24.000000,tom not on the door
9,1024730.wav,53.403999999999996,384.0,437.404,2018-11-29 03:00:08.562596,2018-11-29 03:00:08.616000,2018-11-29 03:00:09.000000,tom isn't able to drive yet
10,1024742.wav,39.666,630.0,669.6659999999998,2018-11-29 05:45:19.330334,2018-11-29 05:45:19.370000,2018-11-29 05:45:20.000000,tom is working on another novel
11,1024773.wav,39.845,230.0,269.845,2018-11-29 04:34:05.730155,2018-11-29 04:34:05.770000,2018-11-29 04:34:06.000000,time is very fussy about what he eats
12,1024814.wav,40.619,697.0,737.6189999999999,2018-11-29 01:48:10.262381,2018-11-29 01:48:10.303000,2018-11-29 01:48:11.000000,tom is the youngest child in his family
13,1024828.wav,39.464,348.0,387.464,2018-11-29 01:47:18.612536,2018-11-29 01:47:18.652000,2018-11-29 01:47:19.000000,tom is the one who usually ends up feeding our dog
14,1024963.wav,51.683,919.0,970.683,2018-11-29 02:00:17.029317,2018-11-29 02:00:17.081000,2018-11-29 02:00:18.000000,tom is looking for his glasses
15,1025045.wav,48.648999999999994,68.0,116.649,2018-11-29 03:06:08.883351,2018-11-29 03:06:08.932000,2018-11-29 03:06:09.000000,tom is extremely busy now
16,1025169.wav,46.55,244.0,290.5499999999999,2018-11-29 04:05:45.709450,2018-11-29 04:05:45.756000,2018-11-29 04:05:46.000000,tom is a house husband
