,audiofilename,audio_entropy,t0,t1,t2,t3,t4,t5,t6,t7,t8,payloadsize,audiofilesize,audiofileobjectsize,audio_length,f_t0,f_t1,f_t2,f_t3,f_t4,f_t5,f_t6
0,646896.wav,11.996815209700001,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451588.3539,1543451603.02496,1543451603.5168,1543451603.51697,1543451603.5474,149,59416,63,1,1543451588.3539,1543451588.35391,1543451588.35395,1543451588.35727,1543451599.2741,1543451603.02489,1543451603.02495
1,2215701.wav,12.902508862100001,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451603.5940099,1543451607.5328698,1543451607.53777,1543451607.53802,1543451607.5924401,142,49786,64,1,1543451603.59402,1543451603.5940402,1543451603.59416,1543451603.5980802,1543451606.7497,1543451607.5328,1543451607.53286
2,5193474.wav,12.4214243808,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451607.65226,1543451615.14394,1543451615.17715,1543451615.17741,1543451615.22898,161,76068,64,2,1543451607.6522698,1543451607.65229,1543451607.65241,1543451607.6558301,1543451613.77985,1543451615.1438699,1543451615.14392
3,2006536.wav,12.2327477008,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451615.28149,1543451619.80121,1543451619.80407,1543451619.8043098,1543451619.85523,151,52374,64,1,1543451615.2815,1543451615.28152,1543451615.28164,1543451615.28461,1543451618.62759,1543451619.80114,1543451619.8011901
4,2208412.wav,13.308877134300001,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451619.90033,1543451626.82051,1543451626.90983,1543451626.91009,1543451626.9639099,150,62594,64,1,1543451619.90034,1543451619.9003599,1543451619.90048,1543451619.90346,1543451625.2985,1543451626.82043,1543451626.8204901
5,4665192.wav,12.278191946199998,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451627.0193,1543451633.88118,1543451633.90181,1543451633.9020698,1543451633.95173,159,66466,64,2,1543451627.01931,1543451627.01933,1543451627.01945,1543451627.02277,1543451632.1656,1543451633.8811,1543451633.88116
6,3431090.wav,12.76289576,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451634.0023,1543451643.73536,1543451643.77623,1543451643.77649,1543451643.8289301,167,92074,64,2,1543451634.00231,1543451634.00233,1543451634.00245,1543451634.0053802,1543451641.51635,1543451643.73528,1543451643.73534
7,953892.wav,12.2909544025,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451643.88791,1543451651.80317,1543451651.8176801,1543451651.81794,1543451651.87031,165,77990,63,2,1543451643.88792,1543451643.88794,1543451643.8880699,1543451643.89133,1543451650.69537,1543451651.80309,1543451651.80315
8,2857951.wav,12.700404091,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451651.92377,1543451658.74489,1543451658.74703,1543451658.74719,1543451658.78315,168,84076,64,2,1543451651.92378,1543451651.9238,1543451651.92392,1543451651.92712,1543451657.58358,1543451658.7448401,1543451658.74488
9,1094337.wav,13.4168389647,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451658.83635,1543451669.36902,1543451669.40543,1543451669.40569,1543451669.4607902,184,109048,64,3,1543451658.83637,1543451658.83638,1543451658.83651,1543451658.83938,1543451666.19858,1543451669.36894,1543451669.369
10,709098.wav,12.8117620455,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451669.52405,1543451676.64177,1543451676.6571698,1543451676.6574302,1543451676.71196,170,111284,63,3,1543451669.52406,1543451669.52408,1543451669.5242,1543451669.52721,1543451674.84338,1543451676.64168,1543451676.64174
11,3205225.wav,12.606107203299999,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451676.77257,1543451692.50734,1543451692.71733,1543451692.7176,1543451692.7676198,191,128256,64,4,1543451676.7725801,1543451676.7726,1543451676.7727199,1543451676.77563,1543451688.3915,1543451692.5072699,1543451692.5073302
12,6002391.wav,12.648878273900001,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451692.8282402,1543451700.85902,1543451700.87698,1543451700.87724,1543451700.9328802,161,79268,64,2,1543451692.82825,1543451692.82827,1543451692.8283901,1543451692.83199,1543451699.2026901,1543451700.8589401,1543451700.859
13,3096836.wav,12.718692114200001,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451700.98752,1543451705.4972901,1543451705.50506,1543451705.50531,1543451705.56127,153,59418,64,1,1543451700.98753,1543451700.98755,1543451700.98767,1543451700.9907699,1543451704.58761,1543451705.49721,1543451705.4972699
14,6124395.wav,12.4305190879,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451705.60945,1543451713.9790199,1543451713.99572,1543451713.99599,1543451714.05051,169,89192,64,2,1543451705.6094599,1543451705.6094801,1543451705.6096,1543451705.61266,1543451712.10398,1543451713.97895,1543451713.9790099
15,4499176.wav,12.514582154500001,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451714.10742,1543451719.80932,1543451719.8183901,1543451719.81865,1543451719.87113,154,69662,64,2,1543451714.10743,1543451714.10745,1543451714.10757,1543451714.11074,1543451718.75069,1543451719.80924,1543451719.8093
16,1893669.wav,12.8017866125,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451719.92316,1543451724.06337,1543451724.08077,1543451724.0810301,1543451724.13446,143,40208,64,1,1543451719.9231699,1543451719.92319,1543451719.9233198,1543451719.92666,1543451722.76248,1543451724.06329,1543451724.06335
17,5740807.wav,12.953173595099999,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451724.18193,1543451729.65755,1543451729.66674,1543451729.66691,1543451729.7109199,155,69662,64,2,1543451724.18194,1543451724.1819599,1543451724.18209,1543451724.18502,1543451728.35272,1543451729.65749,1543451729.65753
18,4728698.wav,11.7535224899,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451729.76504,1543451733.3715901,1543451733.3819,1543451733.38216,1543451733.43438,149,47256,64,1,1543451729.76505,1543451729.76507,1543451729.7651901,1543451729.7681198,1543451732.41707,1543451733.37151,1543451733.3715699
19,4500921.wav,12.1500262725,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451733.47845,1543451739.87874,1543451739.8847802,1543451739.88503,1543451739.9402,156,63264,64,1,1543451733.47846,1543451733.47848,1543451733.4786,1543451733.48163,1543451738.74479,1543451739.87867,1543451739.8787198
20,2331570.wav,12.3091322349,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451739.98593,1543451749.35365,1543451749.4597,1543451749.46004,1543451749.51393,152,67418,64,2,1543451739.98594,1543451739.98596,1543451739.98609,1543451739.9890301,1543451747.24036,1543451749.3536,1543451749.35364
21,2407872.wav,12.981308439700001,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451749.56569,1543451756.8199599,1543451756.9194698,1543451756.91981,1543451756.97054,155,62620,64,1,1543451749.5657,1543451749.5657198,1543451749.56585,1543451749.56919,1543451755.23305,1543451756.81988,1543451756.81994
22,3434428.wav,12.935208081199999,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451757.02119,1543451764.15792,1543451764.1614301,1543451764.16159,1543451764.2106302,167,86634,64,2,1543451757.0212,1543451757.02122,1543451757.02135,1543451757.0246,1543451763.11518,1543451764.1578698,1543451764.1579099
23,2959391.wav,12.746635343900001,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451764.2681699,1543451772.06347,1543451772.08941,1543451772.08967,1543451772.14146,171,86636,64,2,1543451764.2681901,1543451764.2682,1543451764.2683198,1543451764.2713199,1543451770.8076801,1543451772.0634,1543451772.0634599
24,2712878.wav,12.8686355553,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451772.1967099,1543451778.0160198,1543451778.06688,1543451778.06714,1543451778.1201599,162,81186,64,2,1543451772.19672,1543451772.1967301,1543451772.19686,1543451772.19997,1543451775.91802,1543451778.01594,1543451778.016
25,5499285.wav,12.9329378671,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451778.17556,1543451783.02381,1543451783.03422,1543451783.03448,1543451783.08638,152,63260,64,1,1543451778.17557,1543451778.17559,1543451778.17572,1543451778.17884,1543451781.64626,1543451783.02373,1543451783.0237901
26,4034845.wav,12.838262939100002,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451783.1366801,1543451789.85166,1543451789.8754401,1543451789.8757,1543451789.9269302,177,87284,64,2,1543451783.1366901,1543451783.13671,1543451783.13683,1543451783.13999,1543451787.8270302,1543451789.8515801,1543451789.85164
27,6124053.wav,12.6209958852,1543451584.61764,1543451584.62553,1543451585.1239998,1543451588.34801,1543451789.98786,1543451796.11999,1543451796.1380901,1543451796.13835,1543451796.19007,155,71262,64,2,1543451789.98787,1543451789.98789,1543451789.98802,1543451789.99119,1543451794.80095,1543451796.11991,1543451796.1199698
