audiofilename,audio_entropy,t0,t1,t2,t3,t4,t5,t6,t7,t8,payloadsize,audiofilesize,audiofileobjectsize,audio_length,f_t0,f_t1,f_t2,f_t3,f_t4,f_t5,f_t6
/home/pi/Music/mountedDirectory/646896.wav,11.9968152097,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543451588.3539,1543451603.02496,1543451603.5168,1543451603.51697,1543451603.5474,149,59416,63,1,1543451588.3539,1543451588.35391,1543451588.35395,1543451588.35727,1543451599.2741,1543451603.02489,1543451603.02495
/home/pi/Music/mountedDirectory/2215701.wav,12.9025088621,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543451603.59401,1543451607.53287,1543451607.53777,1543451607.53802,1543451607.59244,142,49786,64,1,1543451603.59402,1543451603.59404,1543451603.59416,1543451603.59808,1543451606.7497,1543451607.5328,1543451607.53286
/home/pi/Music/mountedDirectory/5193474.wav,12.4214243808,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543451607.65226,1543451615.14394,1543451615.17715,1543451615.17741,1543451615.22898,161,76068,64,2,1543451607.65227,1543451607.65229,1543451607.65241,1543451607.65583,1543451613.77985,1543451615.14387,1543451615.14392
/home/pi/Music/mountedDirectory/2006536.wav,12.2327477008,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543451615.28149,1543451619.80121,1543451619.80407,1543451619.80431,1543451619.85523,151,52374,64,1,1543451615.2815,1543451615.28152,1543451615.28164,1543451615.28461,1543451618.62759,1543451619.80114,1543451619.80119
/home/pi/Music/mountedDirectory/2208412.wav,13.3088771343,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543451619.90033,1543451626.82051,1543451626.90983,1543451626.91009,1543451626.96391,150,62594,64,1,1543451619.90034,1543451619.90036,1543451619.90048,1543451619.90346,1543451625.2985,1543451626.82043,1543451626.82049
/home/pi/Music/mountedDirectory/4665192.wav,12.2781919462,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543451627.0193,1543451633.88118,1543451633.90181,1543451633.90207,1543451633.95173,159,66466,64,2,1543451627.01931,1543451627.01933,1543451627.01945,1543451627.02277,1543451632.1656,1543451633.8811,1543451633.88116
/home/pi/Music/mountedDirectory/3431090.wav,12.76289576,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543451634.0023,1543451643.73536,1543451643.77623,1543451643.77649,1543451643.82893,167,92074,64,2,1543451634.00231,1543451634.00233,1543451634.00245,1543451634.00538,1543451641.51635,1543451643.73528,1543451643.73534
/home/pi/Music/mountedDirectory/953892.wav,12.2909544025,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543451643.88791,1543451651.80317,1543451651.81768,1543451651.81794,1543451651.87031,165,77990,63,2,1543451643.88792,1543451643.88794,1543451643.88807,1543451643.89133,1543451650.69537,1543451651.80309,1543451651.80315
/home/pi/Music/mountedDirectory/2857951.wav,12.700404091,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543451651.92377,1543451658.74489,1543451658.74703,1543451658.74719,1543451658.78315,168,84076,64,2,1543451651.92378,1543451651.9238,1543451651.92392,1543451651.92712,1543451657.58358,1543451658.74484,1543451658.74488
/home/pi/Music/mountedDirectory/1094337.wav,13.4168389647,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543451658.83635,1543451669.36902,1543451669.40543,1543451669.40569,1543451669.46079,184,109048,64,3,1543451658.83637,1543451658.83638,1543451658.83651,1543451658.83938,1543451666.19858,1543451669.36894,1543451669.369
/home/pi/Music/mountedDirectory/709098.wav,12.8117620455,1543451584.61764,1543451584.62553,1543451585.124,1543451588.34801,1543451669.52405,1543451676.64177,1543451676.65717,1543451676.65743,1543451676.71196,170,111284,63,3,1543451669.52406,1543451669.52408,1543451669.5242,1543451669.52721,1543451674.84338,1543451676.64168,1543451676.64174
